frameNumber,windowSize,XYError,timeToFuture,time,fps,currentCenterX,currentCenterY,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,angleOfApproach,XFrameSpeed,YFrameSpeed,occupiedHeights,predictedX,predictedY
112,4,10,1.5,1657504496.7441335,9.160309077964,486,192,496,192,476,202,129.86243061813138,99.08119898037312,-12.71395916119832,0.22685185185185186,158.2320658764182,204.93206587641833
113,4,10,1.5,1657504498.1619012,8.497253888214713,438,194,457,183,420,179,129.13668103442265,48.12470421868644,-7.299814684856932,0.375,204.8320658764182,203.63206587641835
114,4,10,1.5,1657504498.2312336,8.569825530671581,438,195,456,183,421,180,128.46234590958593,47.22670543385424,-6.8982828161809575,0.3680555555555556,250.43206587641822,200.33206587641834
115,4,10,1.5,1657504498.3050368,14.423279149659045,439,195,456,183,422,180,127.91693879624118,13.549550480854652,0.0,0.36574074074074076,296.0320658764182,196.73206587641835
116,4,10,1.5,1657504498.384823,13.549550480854652,439,196,457,183,422,180,127.43786759999459,6.553446403599915,6.553446403599915,0.37037037037037035,343.53060212636706,193.9306021263672
117,4,10,1.5,1657504498.4666047,12.533479955057254,440,197,457,183,423,180,126.92758992609336,8.533368055696842,8.533368055696842,0.3726851851851852,400.28524745475494,200.38524745475507
118,4,10,1.5,1657504498.5414057,12.227685508298423,440,198,457,183,424,180,126.35433188639047,6.489802202257031,9.734703303385547,0.3680555555555556,409.63564467922185,199.91084329145542
119,4,10,1.5,1657504498.608225,13.368810918664618,441,197,458,183,424,180,125.7617694608713,15.192129931470133,-15.192129931470133,0.37962962962962965,421.0356446792219,199.81084329145543
120,4,10,1.5,1657504498.6895235,14.965706966006687,441,199,458,183,425,180,125.21007794354735,6.843563942873272,6.843563942873272,0.37962962962962965,440.05835867984854,198.5335572920821
121,4,10,1.5,1657504498.7688386,12.300372444939734,441,200,458,183,425,180,124.70304966931752,4.426537883521048,8.853075767042096,0.375,446.9388077152845,199.69445536295402
122,4,10,1.5,1657504498.8526018,12.60792612543286,442,200,459,184,425,181,124.25131570495212,6.468284340221901,6.468284340221901,0.3680555555555556,442.6918579186122,200.64750556628178
123,4,10,1.5,1657504498.9309027,11.938427907824028,442,200,460,184,425,181,123.84549132231301,0.0,0.0,0.3726851851851852,443.09185791861216,201.24750556628177
124,4,10,1.5,1657504499.0112028,12.771236655725327,443,197,460,184,427,181,123.47218752329395,6.345065458055108,-19.035196374165324,0.37037037037037035,443.59185791861216,201.4475055662818
125,4,10,1.5,1657504499.09099,12.453285748642381,444,197,459,183,429,180,123.00732511560591,8.460488308670465,-12.690732463005697,0.3680555555555556,444.09185791861216,201.64750556628178
126,4,10,1.5,1657504499.1608057,12.533330145942651,448,199,441,181,455,180,122.34636721133872,19.530752652455565,-3.255125442075927,0.37037037037037035,444.79332166866334,201.74896931633293
127,4,10,1.5,1657504499.2385938,14.323439015394703,450,199,456,181,445,177,121.51887434682334,26.044621622796395,0.0,0.37037037037037035,445.40661046385713,201.56225811152675
128,4,10,1.5,1657504499.308408,12.855434352845982,453,197,464,181,442,177,120.66023261985052,34.10552267763428,-13.642209071053715,0.39351851851851855,445.9562132393902,200.33666227482632
129,4,10,1.5,1657504499.3891919,14.323732506437358,450,195,465,180,435,178,119.8533234311693,8.795533350458985,-17.59106670091797,0.4050925925925926,446.85621323939023,200.13666227482636
130,4,10,1.5,1657504499.4649904,12.378712754403361,448,197,465,178,432,178,119.06893251262284,0.0,-6.596554910294771,0.4074074074074074,446.6334992387636,199.01394827419966
131,4,10,1.5,1657504499.5437791,13.192871207403075,447,198,464,178,430,177,118.2852461976941,-12.854646369607124,12.854646369607124,0.4097222222222222,446.8530502033276,198.05305020332779
132,4,10,1.5,1657504499.618578,12.692166166360026,446,199,464,178,429,176,117.48370770009583,-13.10693376540789,13.10693376540789,0.4097222222222222,447.0999999999999,197.80000000000007
133,4,10,1.5,1657504499.6953743,13.36919443213729,447,200,465,178,430,177,116.6882932341758,-4.359462226449021,13.078386679347064,0.41203703703703703,447.5999999999999,197.8000000000001
134,4,10,1.5,1657504499.766185,13.021461812379115,447,201,465,178,430,177,115.97143369197691,-3.3201118972343906,13.280447588937562,0.4027777777777778,447.9999999999999,198.2000000000001
135,4,10,1.5,1657504499.8409843,14.122140591645847,447,201,465,178,430,177,115.32512823843912,0.0,0.0,0.4027777777777778,448.2999999999999,198.60000000000008
136,4,10,1.5,1657504499.9123068,13.369109205019587,447,201,465,178,430,176,114.70257439751717,0.0,0.0,0.41898148148148145,448.19999999999993,198.8000000000001
137,4,10,1.5,1657504499.9861078,14.020832497626593,448,201,465,177,432,176,114.05236635655449,4.567759444416009,0.0,0.4027777777777778,447.9999999999999,199.00000000000009
138,4,10,1.5,1657504500.0708814,13.549944434393819,449,200,465,176,433,174,113.37624373443838,6.585462318859921,-3.2927311594299606,0.4375,447.5999999999999,199.3000000000001
139,4,10,1.5,1657504500.145685,11.796133488578773,449,200,466,176,433,173,112.70303464262014,0.0,0.0,0.4212962962962963,447.4999999999999,199.8000000000001
140,4,10,1.5,1657504500.2194862,13.36834220985565,449,200,466,176,433,172,112.02607116643799,0.0,0.0,0.42824074074074076,447.5999999999999,200.10000000000008
141,4,10,1.5,1657504500.3022654,13.54990066064708,450,199,467,175,433,172,111.35988906824153,4.340563632148889,-4.340563632148889,0.4236111111111111,447.8999999999999,200.2000000000001
